input name,input website,input phone,input_facebook,matched name,matched website,matched phone,matched facebook,score
Acorn Law P.C.,https://https//acornlawpc.com/,,https://www.facebook.com/acornfurnitureworkshops,Acorn Law P.C.,https://acornlawpc.com,['805-409-3878'],https://www.facebook.com/acornlaw/,72.95
Advance Net Support,, (786) 426-3492,,Advance Network Support,https://advancenetsupport.com,"['786-426-3492', '786-426-3492\n305-306-6487\n305-306-6487', '786-426-3492\n786-426-3492']",https://www.facebook.com/profile.php?id=100064803528337,40.81
Aroostook,,207.762.9321,,Creston House,https://crestonhousefl.com,['800-587-2287'],https://www.facebook.com/coastalrealtyandpropertymanagement,23.9
&AWL,awlsnap.com,,,LAFLO,https://laflosd.com,[],,31.78
RyanLBatesDDS,google.com,(509) 276-6996,,Bates DDS,https://batesdds.com,[],,39.09
Cadott Family Restaurant Limited,google.com,715.978.0027,,Cadott Family Restaurant,https://cadottfamilyrestaurant.com,"['715) 978-0027\n\n\n\n\n\n\n\n\n\n\n\n641', '54727(715) 978-0027']",https://www.facebook.com/cadottfamilyrestaurant/,48.89
Denham's Florist Inc,http://dreamservicesoftware.com,(706) 685.0182,,Denham's Florist,https://denhamsflorist.com,['706) 685-0182'],https://www.facebook.com/pages/Denhams-Florist/280490905379085,65.64
Garrett-Wietholter-State-Farm-Agent,google.com,(317) 873-3230,,Garrett Wietholter,https://garrettwietholter.com,"['46075 \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n                        5', '309-622-5001', '317) 873-8958', '61710-0001', '317) 873-3230']",https://www.facebook.com/153341281385570,40.42
GSS,,,https://www.facebook.com/GSSstrings/,S.P.O.T.S.,https://spots.edu,"['2025\n  \n\n\n    1', '2024\n  \n\n\n    5', '2024\n  \n\n\n    2']",https://www.facebook.com/saintphotiosseminary/,19.62
Hueboost Services //,,(+877) 449-5079,,Fluesbrothers Chimney Service,https://kcsweep.com,['888-720-5830'],https://www.facebook.com/SureGlowStoveandChimney,29.31
American Inns of Court Company,innsc.com,+1703-684-3590,,American Inns of Court Foundation,https://innsofcourt.org,[],,42.33
JETT Business Technology LTD,https://www.google.com/,(678) 387-5715,,JETT Business Technology,https://jettbt.com,"['678) 387-5717', '770.667.6178\n\n\n\n\n\n\n \n1060', '678) 387-5715', '678.387.5715', '678.387.5717']",https://www.facebook.com/JETTBusinessTechnology,60.39
NCCA Inc.,,207.762.9321,https://www.facebook.com/musselrockcloggers/,Kikimo Incorporated.,https://kikimo.com,['310) 823 - 6817'],https://www.facebook.com/kikimoinc/,26.3
NY AL Elevator,elevator.io,,,NY NJ Elevator Corp.,https://nynjelevator.com,"['888) 569-3042', '888 569-3042']",https://www.facebook.com/NYNJElevatorCo/,45.38
NY Staffing LLC.,nyexecstaffing.com,,,Pro-Exec Staffing LLC.,https://proexecstaffing.com,['713-248-2245'],https://www.facebook.com/proexecstaffing,50.81
Puppet Heap USA,puppet.io,,https://facebook.com/puppetheap,Puppet Heap,https://puppetheap.com,['0\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n0'],https://www.facebook.com/puppetheap/,58.58
SafetyChain Software Services Pty. Ltd.,https://safetychain.com/about-us,,,SafetyChain Software,https://safetychain.com,['94945 888-235-7540'],https://www.facebook.com/safetychain/,52.21
SBS*,http://sbstransportllc.com/index.html?lang=en,,https://www.facebook.com/SBS-Transport-LLC-101932885163238,SBS Transport,https://sbstransportllc.com,[],https://www.facebook.com/101932885163238,43.95
SteppIR Tree Services,steppir.com,,https://www.facebook.com/SteppIR/,SteppIR Communication Systems,https://steppir.com,[],,41.2
Templo Ebenezer Weslaco Holding,,(956) 968-8142,,All-in-One Global Consulting,https://gov.aiogoconsultingllc.com,['469-859-4296'],,24.27
The Greenwich Cincinnati,,+1513-221-1151,,The Greenwich,https://the-greenwich.com,['513-221-1151'],https://www.facebook.com/pages/The-Greenwich/132754124391,44.11
Inc. Mercury,,,https://facebook.com/bluemercury,Bluemercury,https://bluemercury.com,[],https://www.facebook.com/bluemercury/,30.14
Total Seal Inc.,,,https://www.facebook.com/totalseal.pistonrings/,Total Seal Piston Rings,https://totalseal.com,[],https://www.facebook.com/totalseal.pistonrings/,35.26
True Audio Services,trueaudio.com,865-494-3388,,True Audio,https://trueaudio.com,"['865-494-3388', '1990-2024']",,62.23
ViruStar LLC.,viru.com,,,ViruStar LLC.,https://virustarllc.com,[],,55.48
W. Works Holding(s),wworks.net,,,Wombat Works,https://wombatworks.org,[],https://www.facebook.com/wombatworksllc,30.79
Forge Marketing & Management Pty.,,,https://www.facebook.com/workitstudio/,Independent Hotel Marketing,https://independenthotelmarketinggroup.com,[],https://www.facebook.com/IndependentHotelMarketing/,30.97
A W Brueggemann Co.,awbrueggemann.com,,,A W Brueggemann Co.,https://awbrueggemann.com,[],,64.29
Blue Ridge Chair - Limited,https://www.blueridgechair.com,,,Blue Ridge Chair,https://blueridgechair.com,[],https://www.facebook.com/pages/Blue-Ridge-Chair-Works/276930045675311,58.33
Cedar Work Inc.,cedarwork.org,,,Cedar Work,https://cedarwork.org,[],,54.94
Inc.,,,https://facebook.com/bluemercury,Clock Inc.,https://clockinc.org,['309-558-0956'],http://facebook.com/clock.inc.qc,29.73
..,steppir.com,,,J.T. H EATER,https://jtheater.com,[],,26.91
